year,life_expectancy,gdp_per_capita,population,number_of_child_deaths,income_per_person,country,continent
2006,58.67,292.03774,3375838,14960,624,Liberia,Africa
2007,59.18,307.39962,3512932,14280,657,Liberia,Africa
2008,59.76,315.87609,3662993,13750,675,Liberia,Africa
2009,60.26,319.65574,3811528,13230,683,Liberia,Africa
2010,60.77,327.42051,3948125,12700,700,Liberia,Africa
2011,61.39,343.6464,4070167,12220,734,Liberia,Africa
2012,62.11,361.23251,4181563,11750,772,Liberia,Africa
2013,62.74,383.07944,4286291,11250,819,Liberia,Africa
2014,59.38,376.58886,4390737,10840,805,Liberia,Africa
2015,63.83,367.47598,4499621,10510,785,Liberia,Africa
1961,60.43,585.9312,10111646,36520,1870,Sri Lanka,Asia
1962,60.85,594.16774,10352188,34540,1886,Sri Lanka,Asia
1963,61.29,595.02032,10597520,32440,1877,Sri Lanka,Asia
1964,61.77,603.87852,10849979,30640,1920,Sri Lanka,Asia
1965,62.29,604.66171,11110828,29390,1934,Sri Lanka,Asia
1966,62.83,619.98081,11380683,28570,1868,Sri Lanka,Asia
1967,63.37,644.22278,11657660,28300,1993,Sri Lanka,Asia
1968,63.9,665.61055,11937611,28290,2093,Sri Lanka,Asia
1969,64.4,700.69466,12214968,28230,2130,Sri Lanka,Asia
1970,64.87,711.86675,12485756,27930,2187,Sri Lanka,Asia
1971,64.72,706.34346,12747842,27330,2131,Sri Lanka,Asia
1972,64.73,689.67882,13002275,26460,2139,Sri Lanka,Asia
1973,64.71,724.4337,13252087,25370,2191,Sri Lanka,Asia
1974,64.44,738.3705,13501986,24360,2232,Sri Lanka,Asia
1975,64.88,769.18191,13755161,23590,2252,Sri Lanka,Asia
1976,65.48,780.22019,14012817,23080,2284,Sri Lanka,Asia
1977,66.33,805.05258,14273272,22760,2398,Sri Lanka,Asia
1978,67.35,835.3463,14533376,22410,2506,Sri Lanka,Asia
1979,68.14,873.49805,14788607,21820,2624,Sri Lanka,Asia
1980,68.89,909.3595,15035856,20800,2725,Sri Lanka,Asia
1981,69.55,946.24006,15273391,19420,2854,Sri Lanka,Asia
1982,69.68,970.86412,15502515,17680,2954,Sri Lanka,Asia
1983,69.79,1003.08896,15726802,15750,3069,Sri Lanka,Asia
1984,69.78,1039.39268,15951422,13750,3185,Sri Lanka,Asia
1985,70.35,1075.95191,16179796,11880,3281,Sri Lanka,Asia
1986,70.79,1106.88148,16412711,10240,3402,Sri Lanka,Asia
1987,70.8,1110.07192,16647945,8906,3391,Sri Lanka,Asia
1988,71.12,1121.73716,16882189,8012,3436,Sri Lanka,Asia
1989,71.66,1132.20332,17110713,7457,3483,Sri Lanka,Asia
1990,71.58,1189.44063,17329713,7241,3666,Sri Lanka,Asia
1991,71.63,1229.2643,17539633,7269,3784,Sri Lanka,Asia
1992,72.19,1268.81126,17740637,7357,3901,Sri Lanka,Asia
1993,72.94,1342.14179,17928576,7423,4122,Sri Lanka,Asia
1994,73.02,1404.00562,18098348,7388,4308,Sri Lanka,Asia
1995,72.22,1469.15034,18247121,7236,4505,Sri Lanka,Asia
1996,72.11,1514.60203,18372120,6945,4641,Sri Lanka,Asia
1997,72.13,1602.51333,18476505,6545,4908,Sri Lanka,Asia
1998,72.22,1669.29586,18570701,6127,5110,Sri Lanka,Asia
1999,72.66,1731.90762,18669103,5721,5299,Sri Lanka,Asia
2000,72.75,1824.7937,18781938,5464,5580,Sri Lanka,Asia
2001,73.28,1784.13819,18913054,5350,5452,Sri Lanka,Asia
2002,73.53,1840.64065,19059300,5328,5626,Sri Lanka,Asia
2003,74.11,1934.14798,19215307,5369,5915,Sri Lanka,Asia
2004,69.58,2022.91087,19372538,10360,6190,Sri Lanka,Asia
2005,74.08,2132.44219,19524558,5181,6527,Sri Lanka,Asia
2006,74.39,2278.96999,19670151,4924,6974,Sri Lanka,Asia
2007,74.73,2416.58945,19810789,4661,7392,Sri Lanka,Asia
2008,74.05,2543.04364,19945832,4368,7773,Sri Lanka,Asia
2009,73.93,2616.08682,20075086,4127,7988,Sri Lanka,Asia
2010,74.42,2808.54597,20198353,3912,8563,Sri Lanka,Asia
2011,75.96,3027.11255,20315017,3718,9213,Sri Lanka,Asia
2012,76.3,3286.13851,20424555,3547,9980,Sri Lanka,Asia
2013,76.6,3371.31732,20527233,3375,10239,Sri Lanka,Asia
2014,76.87,3506.87143,20623564,3218,10650,Sri Lanka,Asia
2015,77.17,3648.23449,20714040,3091,11062,Sri Lanka,Asia
1960,52.42,257.21674,851591,6619,564,Lesotho,Africa
1961,53.03,257.5164,866462,6713,560,Lesotho,Africa
1962,53.56,291.70995,882170,6812,636,Lesotho,Africa
1963,54,316.75881,898647,6913,694,Lesotho,Africa
1964,54.35,336.46442,915822,7018,738,Lesotho,Africa
1965,54.62,337.14725,933655,7128,736,Lesotho,Africa
1966,54.84,329.23833,952206,7225,735,Lesotho,Africa
1967,55.05,357.90842,971512,7293,798,Lesotho,Africa
1968,55.26,349.40892,991491,7331,779,Lesotho,Africa
1969,55.52,347.62037,1012015,7336,772,Lesotho,Africa
1970,55.83,347.95595,1033050,7319,774,Lesotho,Africa
1971,55.92,358.32556,1054453,7291,688,Lesotho,Africa
1972,56.12,350.32754,1076340,7241,803,Lesotho,Africa
1973,56.48,433.60778,1099235,7173,992,Lesotho,Africa
1974,56.8,470.67637,1123855,7097,1030,Lesotho,Africa
1975,57.04,397.5973,1150635,7006,924,Lesotho,Africa
1976,57.31,430.64174,1179723,6869,1051,Lesotho,Africa
1977,57.67,511.09734,1210799,6708,1206,Lesotho,Africa
1978,58.15,588.88198,1243352,6532,1406,Lesotho,Africa
1979,58.45,590.11384,1276663,6345,1221,Lesotho,Africa
1980,58.7,559.26106,1310118,6150,1157,Lesotho,Africa
1981,58.94,549.07574,1343690,5969,1138,Lesotho,Africa
1982,59.15,559.53426,1377346,5781,1149,Lesotho,Africa
1983,59.33,557.25849,1410439,5607,1139,Lesotho,Africa
1984,59.52,575.14585,1442212,5431,1163,Lesotho,Africa
1985,59.73,578.14048,1472192,5260,1176,Lesotho,Africa
1986,59.95,594.06051,1499861,5112,1210,Lesotho,Africa
1987,60.08,588.35376,1525460,4974,1190,Lesotho,Africa
1988,60.27,628.74096,1550262,4848,1274,Lesotho,Africa
1989,60.41,654.30574,1576022,4766,1323,Lesotho,Africa
1990,60.4,681.78518999999994,1603938,4737,1380,Lesotho,Africa
1991,60.4,715.63886,1634517,4755,1449,Lesotho,Africa
1992,60.05,750.45192,1667121,4854,1519,Lesotho,Africa
1993,59.58,761.60525,1700362,5045,1542,Lesotho,Africa
1994,58.59,792.28675,1732257,5321,1604,Lesotho,Africa
1995,57.72,804.83909,1761359,5652,1629,Lesotho,Africa
1996,56.53,837.56356,1787273,6025,1695,Lesotho,Africa
1997,54.96,857.46275,1810453,6355,1736,Lesotho,Africa
1998,52.78,860.73731,1831298,6620,1742,Lesotho,Africa
1999,50.9,855.84806,1850527,6805,1732,Lesotho,Africa
2000,48.8,880.37168,1868699,6909,1782,Lesotho,Africa
2001,47.49,903.38478,1885955,6922,1829,Lesotho,Africa
2002,46.05,902.09984,1902312,6863,1826,Lesotho,Africa
2003,44.7,935.47122,1918097,6759,1893,Lesotho,Africa
2004,43.8,943.61318000000006,1933728,6647,1910,Lesotho,Africa
2005,43.25,968.39991,1949543,6575,1960,Lesotho,Africa
2006,43.23,1001.08707,1965662,6525,2026,Lesotho,Africa
2007,43.65,1040.66757,1982287,6352,2106,Lesotho,Africa
2008,44.32,1101.00442,1999930,6314,2226,Lesotho,Africa
2009,45.39,1113.98481,2019209,5879,2253,Lesotho,Africa
2010,46.5,1169.26784,2040551,5680,2375,Lesotho,Africa
2011,47.55,1235.66278,2064166,5574,2503,Lesotho,Africa
2012,47.87,1293.63341,2089928,5554,2618,Lesotho,Africa
2013,48.11,1300.40615,2117361,5641,2640,Lesotho,Africa
2014,48.62,1323.23773,2145785,5629,2664,Lesotho,Africa
2015,49.57,1338.53537,2174645,5570,2777,Lesotho,Africa
1995,69,5322.41953,3626602,724,9357,Lithuania,Europe
1996,70.17,5639.23689,3603745,614,9914,Lithuania,Europe
1997,71.06,6152.13699,3579904,538,10815,Lithuania,Europe
1998,71.32,6659.5981,3555133,488,11708,Lithuania,Europe
1999,71.75,6630.91457,3529178,449,11657,Lithuania,Europe
2000,72.02,6933.58787,3501835,419,12189,Lithuania,Europe
2001,71.59,7447.07745,3473617,386,13092,Lithuania,Europe
2002,71.98,8014.63691,3444754,358,14090,Lithuania,Europe
2003,72.01,8931.51954,3414352,332,15702,Lithuania,Europe
2004,72.01,9624.01373,3381118,314,16919,Lithuania,Europe
2005,71.41,10537.91037,3344252,299,18526,Lithuania,Europe
2006,71.16,11500.52915,3303671,287,20218,Lithuania,Europe
2007,70.94,12928.25994,3260091,269,22728,Lithuania,Europe
2008,71.58,13405.18824,3214627,252,23566,Lithuania,Europe
2009,73.01,11546.82225,3168772,234,20299,Lithuania,Europe
2010,73.17,11984.86857,3123803,215,21069,Lithuania,Europe
2011,73.51,12999.42674,3079881,198,22854,Lithuania,Europe
2012,73.89,13679.149,3037246,182,24051,Lithuania,Europe
2013,74.05,14301.72976,2997334,172,25148,Lithuania,Europe
2014,74.73,14935.53502,2961846,167,26251,Lithuania,Europe
2015,74.86,15383.46264,2931926,164,26971,Lithuania,Europe
1960,69.48,27085.59103,314588,194,22445,Luxembourg,Europe
1961,69.99,27867.78139,317441,169,23174,Luxembourg,Europe
1962,69.09,27902.52618,320703,189,23322,Luxembourg,Europe
1963,69.31,28563.7963,324121,176,23448,Luxembourg,Europe
1964,69.5,30467.45251,327366,152,25434,Luxembourg,Europe
1965,69.84,29901.4155,330161,146,25563,Luxembourg,Europe
1966,69.75,30015.24427,332419,138,25579,Luxembourg,Europe
1967,70.14,29981.52395,334227,130,25374,Luxembourg,Europe
1968,70.73,31156.39292,335834,121,26498,Luxembourg,Europe
1969,70.3,34096.06492,337567,112,29335,Luxembourg,Europe
1970,70.04,35457.23573,339668,103,29624,Luxembourg,Europe
1971,70.2,36057.45456,342226,93,30148,Luxembourg,Europe
1972,70.56,37973.16014,345103,84,31799,Luxembourg,Europe
1973,70.75,40677.89997,348173,76,34094,Luxembourg,Europe
1974,71.05,41842.2231,351189,69,35282,Luxembourg,Europe
1975,71.24,38667.87318,353983,64,32666,Luxembourg,Europe
1976,71.46,39452.09622,356564,61,33319,Luxembourg,Europe
1977,71.9,40001.8771,358968,60,33844,Luxembourg,Europe
1978,72.16,41557.3053,361073,59,35112,Luxembourg,Europe
1979,72.36,42432.56179,362789,59,36068,Luxembourg,Europe
1980,72.6,42637.31854,364038,58,36287,Luxembourg,Europe
1981,72.76,42277.60136,364781,56,36063,Luxembourg,Europe
1982,73,42720.79505,365098,55,36440,Luxembourg,Europe
1983,73.33,43986.07989,365305,52,37553,Luxembourg,Europe
1984,73.54,46659.48792,365795,50,39924,Luxembourg,Europe
1985,73.82,47869.48337,366884,48,41084,Luxembourg,Europe
1986,74.15,52413.05075,368666,46,45073,Luxembourg,Europe
1987,74.36,54131.9196,371078,45,46692,Luxembourg,Europe
1988,74.57,58288.76721,374118,44,50605,Luxembourg,Europe
1989,74.8,63380.47284,377706,43,55214,Luxembourg,Europe
1990,75.13,65921.91017,381791,42,57618,Luxembourg,Europe
1991,75.47,70667.23837,386352,41,61766,Luxembourg,Europe
1992,75.75,71003.66912,391394,40,62060,Luxembourg,Europe
1993,76.06,72999.73764,396810,39,63804,Luxembourg,Europe
1994,76.43,74763.87116,402433,38,65346,Luxembourg,Europe
1995,76.77,74776.80547,408149,36,65358,Luxembourg,Europe
1996,77,74790.0676,413999,34,65369,Luxembourg,Europe
1997,77.26,78075.53056,419974,32,68241,Luxembourg,Europe
1998,77.64,81771.44098,425833,31,71471,Luxembourg,Europe
1999,78.02,87516.44512,431262,29,76492,Luxembourg,Europe
2000,78.42,93462.92485,436103,26,81690,Luxembourg,Europe
2001,78.66,94695.33924,440198,25,82767,Luxembourg,Europe
2002,78.92,97287.59728,443726,23,85033,Luxembourg,Europe
2003,79.04,97678.46054,447322,22,85374,Luxembourg,Europe
2004,79.5,99778.46879,451819,20,87210,Luxembourg,Europe
2005,79.95,101380.77459,457842,19,88610,Luxembourg,Europe
2006,80.35,104943.44034,465554,18,91724,Luxembourg,Europe
2007,80.66,111968.34948,474722,16,97864,Luxembourg,Europe
2008,80.98,108577.35229,485105,15,94900,Luxembourg,Europe
2009,81.18,101939.6134,496279,15,89099,Luxembourg,Europe
2010,81.35,104965.30608,507889,14,91743,Luxembourg,Europe
2011,81.48,105264.74845,519941,14,92005,Luxembourg,Europe
2012,81.74,102404.61191,532387,13,89505,Luxembourg,Europe
2013,81.92,103721.74701,544721,13,90950,Luxembourg,Europe
2014,81.9,107152.90894,556316,13,93830,Luxembourg,Europe
2015,81.99,107648.60801,566741,13,95311,Luxembourg,Europe
1995,66.57,5140.52816,2508473,526,8272,Latvia,Europe
1996,68.5,5321.39679,2478825,447,8563,Latvia,Europe
1997,69.18,5857.03658,2453302,392,9424,Latvia,Europe
1998,68.95,6298.1261,2430547,358,10134,Latvia,Europe
1999,69.88,6515.89272,2408090,337,10485,Latvia,Europe
2000,70.42,6934.72293,2384163,321,11159,Latvia,Europe
2001,69.87,7478.7631,2358677,311,12034,Latvia,Europe
2002,70.22,8103.58764,2332492,310,13039,Latvia,Europe
2003,70.58,8872.1032,2305775,311,14276,Latvia,Europe
2004,70.93,9717.10905,2278855,305,15636,Latvia,Europe
2005,70.79,10873.41429,2251983,294,17496,Latvia,Europe
2006,70.45,12278.30704,2225223,283,19757,Latvia,Europe
2007,70.89,13614.25637,2198518,267,21901,Latvia,Europe
2008,71.89,13270.00041,2171881,248,21333,Latvia,Europe
2009,72.61,11547.99077,2145309,227,18580,Latvia,Europe
2010,73.06,11326.21947,2118848,207,18252,Latvia,Europe
2011,73.61,12270.34062,2092493,187,19773,Latvia,Europe
2012,74.03,12924.72616,2066374,167,20822,Latvia,Europe
2013,74.09,13381.33173,2040784,149,21599,Latvia,Europe
2014,74.61,13758.95531,2016125,137,22265,Latvia,Europe
2015,74.76,14284.28833,1992663,129,23057,Latvia,Europe
1966,53.55,815.50086,14593284,141300,2134,Morocco,Africa
1967,53.99,875.53113,14950803,138100,2202,Morocco,Africa
1968,54.44,939.69873,15302947,133800,2272,Morocco,Africa
1969,54.88,995.36683,15651924,129600,2343,Morocco,Africa
1970,55.31,1019.55188,16000008,126100,2416,Morocco,Africa
1971,55.8,1053.88866,16347198,123100,2489,Morocco,Africa
1972,56.34,1057.36821,16695003,120500,2497,Morocco,Africa
1973,56.84,1072.54736,17049165,117900,2536,Morocco,Africa
1974,57.41,1108.75935,17416964,115500,2622,Morocco,Africa
1975,57.81,1166.44917,17803698,113100,2743,Morocco,Africa
1976,58.48,1263.06424,18210754,110300,2986,Morocco,Africa
1977,59.14,1308.01176,18636977,107300,3073,Morocco,Africa
1978,59.74,1304.97864,19081718,104100,3103,Morocco,Africa
1979,60.32,1334.25169,19543347,101000,3184,Morocco,Africa
1980,61,1349.20785,20019847,97890,3411,Morocco,Africa
1981,61.66,1293.49722,20511601,95010,3258,Morocco,Africa
1982,62.66,1375.28472,21016818,92080,3511,Morocco,Africa
1983,63.28,1361.16615,21528502,88820,3401,Morocco,Africa
1984,63.98,1415.04943,22037610,84970,3452,Morocco,Africa
1985,64.62,1466.72404,22537376,80560,3575,Morocco,Africa
1986,65.17,1568.68403,23023935,75590,3760,Morocco,Africa
1987,65.65,1531.86548,23497766,70030,3586,Morocco,Africa
1988,66.12,1680.34999,23961820,64530,3859,Morocco,Africa
1989,66.61,1695.42985,24421191,59800,3856,Morocco,Africa
1990,67.2,1720.78049,24879136,55980,3912,Morocco,Africa
1991,67.6,1811.40162,25336862,53140,4118,Morocco,Africa
1992,67.93,1741.92089,25791494,51060,3960,Morocco,Africa
1993,68.2,1699.40366,26237417,49380,3863,Morocco,Africa
1994,68.65,1848.78324,26667048,47440,4203,Morocco,Africa
1995,68.99,1722.19331,27075232,45070,3915,Morocco,Africa
1996,69.49,1907.78645,27460603,42270,4337,Morocco,Africa
1997,69.8,1853.01285,27825901,39180,4213,Morocco,Africa
1998,70.21,1962.03424,28175263,35990,4460,Morocco,Africa
1999,70.51,1958.95379,28514798,33100,4453,Morocco,Africa
2000,70.87,1972.30029,28849621,30720,4484,Morocco,Africa
2001,71.19,2091.23452,29181832,28850,4754,Morocco,Africa
2002,71.45,2130.73392,29512368,27280,4844,Morocco,Africa
2003,71.71,2230.90475,29843937,26080,5072,Morocco,Africa
2004,71.93,2310.33845,30179285,25150,5252,Morocco,Africa
2005,72.22,2358.44358,30521070,24430,5362,Morocco,Africa
2006,72.48,2507.67466,30869346,23890,5701,Morocco,Africa
2007,72.74,2566.2167,31225881,23510,5834,Morocco,Africa
2008,73.01,2686.2283,31596855,23180,6107,Morocco,Africa
2009,73.29,2765.85615,31989897,22940,6288,Morocco,Africa
2010,73.55,2834.20472,32409639,22550,6443,Morocco,Africa
2011,73.81,2942.03882,32858823,22190,6688,Morocco,Africa
2012,74.08,2987.31592,33333789,21730,6791,Morocco,Africa
2013,74.34,3077.31501,33824769,21280,6996,Morocco,Africa
2014,74.56,3113.79941,34318082,20580,7071,Morocco,Africa
2015,74.78,3209.71471,34803322,19760,7286,Morocco,Africa
1995,64.62,1086.93603,4339082,2146,2605,Moldova,Europe
1996,65.33,1025.10659,4314700,2010,2457,Moldova,Europe
1997,67.05,1045.85166,4284931,1894,2507,Moldova,Europe
1998,67.66,977.825,4253284,1780,2344,Moldova,Europe
1999,67.5,946.37419,4224273,1645,2268,Moldova,Europe
2000,67.58,968.28818,4201089,1490,2321,Moldova,Europe
2001,68.14,1029.65376,4185505,1312,2468,Moldova,Europe
2002,68.49,1112.54019,4176616,1142,2667,Moldova,Europe
2003,68.75,1189.31217,4171646,1004,2851,Moldova,Europe
2004,69.13,1280.48592,4166337,902,3069,Moldova,Europe
2005,68.54,1379.87562,4157699,837,3308,Moldova,Europe
2006,68.92,1450.13431,4144730,804,3476,Moldova,Europe
2007,69.2,1497.10383,4128649,797,3589,Moldova,Europe
2008,69.58,1616.95279,4111440,801,3876,Moldova,Europe
2009,69.88,1521.85557,4096040,805,3648,Moldova,Europe
2010,69.74,1631.53583,4084481,807,3911,Moldova,Europe
2011,71.47,1743.48808,4077368,794,4179,Moldova,Europe
2012,71.61,1731.5108,4073703,777,4151,Moldova,Europe
2013,72.48,1894.78011,4071964,749,4542,Moldova,Europe
2014,72.19,1986.94062,4069939,719,4763,Moldova,Europe
2015,72.08,1980.26741,4065980,687,4747,Moldova,Europe
1960,44.78,716.08177,5099373,53000,2278,Madagascar,Africa
1961,45.37,713.37738,5223568,51490,2282,Madagascar,Africa
1962,45.96,712.00406,5352503,50040,2290,Madagascar,Africa
1963,46.55,688.1817,5486319,48640,2224,Madagascar,Africa
1964,47.15,697.79167,5625164,47320,2267,Madagascar,Africa
1965,47.74,677.29122,5769218,46070,2211,Madagascar,Africa
1966,48.34,673.82747,5918595,45620,2211,Madagascar,Africa
1967,48.93,692.94134,6073526,45140,2286,Madagascar,Africa
1968,49.55,721.15143,6234465,39880,2390,Madagascar,Africa
1969,50.15,728.42187,6401921,41400,2429,Madagascar,Africa
1970,50.76,746.52197,6576305,43190,2501,Madagascar,Africa
1971,51.18,755.01272,6757850,45200,2543,Madagascar,Africa
1972,51.81,725.14838,6946620,47400,2455,Madagascar,Africa
1973,52.43,686.78216,7142627,49890,2338,Madagascar,Africa
1974,52.82,681.19041,7345780,52580,2331,Madagascar,Africa
1975,53.1,670.57183,7556026,55240,2306,Madagascar,Africa
1976,53.38,631.81266,7773449,57960,2179,Madagascar,Africa
1977,53.89,628.57778,7998164,60540,2176,Madagascar,Africa
1978,54.27,594.59503,8230218,62980,2066,Madagascar,Africa
1979,54.68,634.72334,8469672,65100,2210,Madagascar,Africa
1980,54.87,621.71548,8716553,66970,2168,Madagascar,Africa
1981,54.78,545.47201,8971345,68620,1928,Madagascar,Africa
1982,54.31,520.35591,9234129,69450,1842,Madagascar,Africa
1983,54.22,510.12593,9504281,69880,1807,Madagascar,Africa
1984,54.15,504.15029,9780872,70440,1693,Madagascar,Africa
1985,54.17,495.65545,10063495,71750,1684,Madagascar,Africa
1986,53.98,491.27588,10352120,73410,1649,Madagascar,Africa
1987,54.11,483.2626,10647754,76040,1639,Madagascar,Africa
1988,54.58,485.8106,10952395,78800,1619,Madagascar,Africa
1989,55.13,491.43553000000003,11268658,80780,1637,Madagascar,Africa
1990,55.59,492.39891,11598633,81640,1653,Madagascar,Africa
1991,55.83,448.03551,11942819,81920,1504,Madagascar,Africa
1992,56.06,440.13721,12301336,81010,1478,Madagascar,Africa
1993,56.06,436.10167,12675460,79480,1464,Madagascar,Africa
1994,56.5,422.74616,13066543,77940,1419,Madagascar,Africa
1995,56.85,416.93832,13475400,76800,1400,Madagascar,Africa
1996,57.19,412.80834,13902688,75720,1386,Madagascar,Africa
1997,57.47,414.77425,14347854,74570,1393,Madagascar,Africa
1998,57.8,417.66668,14808791,73290,1402,Madagascar,Africa
1999,58.23,423.57614,15282521,71520,1422,Madagascar,Africa
2000,58.46,430.109,15766806,69120,1444,Madagascar,Africa
2001,58.98,442.13582,16260932,66320,1484,Madagascar,Africa
2002,59.13,374.48909,16765117,63150,1257,Madagascar,Africa
2003,59.33,398.90198,17279141,59820,1339,Madagascar,Africa
2004,59.6,407.51746,17802997,56510,1368,Madagascar,Africa
2005,60.08,413.86749,18336724,53530,1390,Madagascar,Africa
2006,60.4,422.14117,18880268,50680,1417,Madagascar,Africa
2007,60.65,435.71725,19433523,48310,1463,Madagascar,Africa
2008,60.76,453.63656,19996469,46350,1523,Madagascar,Africa
2009,60.76,423.30574,20569121,44880,1421,Madagascar,Africa
2010,60.84,412.73093,21151640,43650,1386,Madagascar,Africa
2011,61.11,407.32728,21743949,42740,1368,Madagascar,Africa
2012,61.36,408.34213,22346573,41950,1371,Madagascar,Africa
2013,61.66,406.37499,22961146,41270,1364,Madagascar,Africa
2014,61.96,408.66103,23589801,40700,1372,Madagascar,Africa
2015,62.31,410.19416,24234088,40080,1376,Madagascar,Africa
1995,67.85,4600.6696,254082,561,5065,Maldives,Asia
1996,68.79,4861.85695,259327,498,5390,Maldives,Asia
1997,69.77,5171.48016,264275,436,5888,Maldives,Asia
1998,70.63,5457.24175,269206,379,6316,Maldives,Asia
1999,71.33,5682.84546,274484,327,6687,Maldives,Asia
2000,72.13,5777.21637,280384,281,6863,Maldives,Asia
2001,72.81,5420.94822,287027,242,6973,Maldives,Asia
2002,73.49,5670.46922,294341,209,7225,Maldives,Asia
2003,74.27,6282.23185,302209,183,8086,Maldives,Asia
2004,73.75,6485.02418,310423,178,8915,Maldives,Asia
2005,75.71,5484.95025,318836,143,7961,Maldives,Asia
2006,76.32,6736.81326,327371,129,9201,Maldives,Asia
2007,77.09,7068.65177,336070,117,9672,Maldives,Asia
2008,77.61,7537.63683,345054,108,10506,Maldives,Asia
2009,77.82,6806.40505,354501,100,10002,Maldives,Asia
2010,77.91,7100.4059,364511,93,10514,Maldives,Asia
2011,78.27,7490.44521,375131,86,11127,Maldives,Asia
2012,78.56,7458.86005,386203,80,11168,Maldives,Asia
2013,78.75,7776.54393,397397,76,11455,Maldives,Asia
2014,79.05,8124.70776,408247,71,11899,Maldives,Asia
2015,79.29,8105.54025,418403,67,11994,Maldives,Asia
1960,57.73,3808.67656,38174112,248900,5999,Mexico,Americas
1961,58.33,3875.26018,39394126,246300,6112,Mexico,Americas
1962,58.87,3930.74831,40649588,243900,6213,Mexico,Americas
1963,59.35,4118.67537,41939880,230100,6520,Mexico,Americas
1964,59.78,4467.93353,43264272,233600,7083,Mexico,Americas
1965,60.16,4639.44886,44623043,235800,7323,Mexico,Americas
1966,60.53,4773.78796,46011038,237400,7601,Mexico,Americas
1967,60.9,4902.12996,47429812,237500,7839,Mexico,Americas
1968,61.29,5203.43592,48894019,236400,8231,Mexico,Americas
1969,61.7,5218.09357,50423481,235600,8491,Mexico,Americas
1970,62.14,5385.81905,52029861,235500,8810,Mexico,Americas
1971,63.04,5412.76319,53718724,236800,8865,Mexico,Americas
1972,63.36,5672.38382,55478151,238500,9312,Mexico,Americas
1973,63.6,5925.77357,57280587,240200,9757,Mexico,Americas
1974,64.18,6076.34382,59088193,239300,10026,Mexico,Americas
1975,64.66,6237.06626,60872399,234800,10302,Mexico,Americas
1976,65.02,6330.45132,62623763,226600,10461,Mexico,Americas
1977,65.35,6369.9245,64345884,214200,10528,Mexico,Americas
1978,66.18,6762.48424,66039488,199300,11196,Mexico,Americas
1979,66.36,7235.33307,67709689,184300,11997,Mexico,Americas
1980,66.72,7715.24412,69360871,171600,12808,Mexico,Americas
1981,67.22,8199.23092,70992195,161200,13601,Mexico,Americas
1982,67.84,7967.02914,72602533,153500,13225,Mexico,Americas
1983,68.41,7468.73028,74196548,148300,12478,Mexico,Americas
1984,68.89,7576.60838,75780605,144200,12643,Mexico,Americas
1985,69.07,7614.33243,77360707,139900,12661,Mexico,Americas
1986,69.84,7182.41533,78934125,135400,12018,Mexico,Americas
1987,70.31,7173.12679,80503052,130700,11990,Mexico,Americas
1988,70.64,7122.59472,82083919,125700,11914,Mexico,Americas
1989,71.05,7278.50872,83697891,120400,12179,Mexico,Americas
1990,71.55,7498.68419,85357874,115000,12584,Mexico,Americas
1991,71.93,7661.48604,87071512,109200,12858,Mexico,Americas
1992,72.13,7782.47221,88828310,103500,13061,Mexico,Americas
1993,72.34,7940.14404,90600453,97800,13325,Mexico,Americas
1994,72.65,8174.69192,92349147,92370,13691,Mexico,Americas
1995,72.87,7522.22174,94045579,86980,12670,Mexico,Americas
1996,73.24,7893.90733,95687452,82280,13184,Mexico,Americas
1997,73.48,8296.16576,97281739,77600,13871,Mexico,Americas
1998,73.72,8588.63774,98821456,73080,14297,Mexico,Americas
1999,74.14,8694.98719,100300579,68590,14462,Mexico,Americas
2000,74.61,8997.4335,101719673,64090,15015,Mexico,Americas
2001,74.87,8843.90105,103067068,59950,14729,Mexico,Americas
2002,74.89,8731.21991,104355608,55650,14566,Mexico,Americas
2003,74.93,8749.77792,105640453,52060,14594,Mexico,Americas
2004,75.22,8977.65771,106995583,49080,15028,Mexico,Americas
2005,75.21,9059.81037,108472228,46550,15273,Mexico,Americas
2006,75.46,9327.73608,110092378,44760,15792,Mexico,Americas
2007,75.66,9392.68699,111836346,43380,16044,Mexico,Americas
2008,75.46,9347.52416,113661809,42140,16008,Mexico,Americas
2009,75.37,8712.14049,115505228,40960,15012,Mexico,Americas
2010,75.47,9016.45781,117318941,39580,15535,Mexico,Americas
2011,75.75,9207.7292,119090017,37780,15923,Mexico,Americas
2012,75.9,9405.81305,120828307,36230,16324,Mexico,Americas
2013,75.82,9400.322,122535969,34430,16316,Mexico,Americas
2014,75.93,9536.60032,124221600,32780,16459,Mexico,Americas
2015,76.21,9717.89843,125890949,31280,16668,Mexico,Americas
1967,37.29,340.69416,5706199,114500,909,Mali,Africa
1968,38.08,348.7667,5780835,113800,925,Mali,Africa
1969,38.93,344.76676,5861412,113400,903,Mali,Africa
1970,39.82,360.53465,5949045,113900,940,Mali,Africa
1971,39.99,363.95512,6044530,115200,954,Mali,Africa
1972,40.56,378.77483,6147458,115700,983,Mali,Africa
1973,40.89,366.77611,6256187,115500,940,Mali,Africa
1974,41.19,354.80775,6368348,114900,898,Mali,Africa
1975,41.6,389.09342,6482278,114100,1002,Mali,Africa
1976,42.17,434.42812,6596773,113500,1114,Mali,Africa
1977,42.93,454.04986,6712401,112100,1177,Mali,Africa
1978,43.59,439.61817,6831295,110400,1133,Mali,Africa
1979,44.33,476.57913,6956579,108800,1390,Mali,Africa
